"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;26;94,06;6;4,56;192;400;1000;20,41;0;0;21,23;13,53;26,57;103,12;87,66;105,27;121,04
1;28;66,84;6;4,57;193;400;1050;8,7;0;0;25,32;19,96;46,66;192,06;170,73;185,67;213,46
1;28;66,84;6;4,57;195;400;1025;4,65;0;0;25,3;16,76;38,55;154,75;136,79;153,38;176,35
1;28;66,84;6;4,57;196;400;975;0;0;0;24,83;16,36;37,21;150,85;132,22;148,06;170,22
1;5;52,07;7;4,57;197;400;850;5,56;0;0;21,7;14,96;30,29;123,38;103,99;120,37;138,39
1;5;52,07;7;4,57;198;400;950;5;0;0;24,05;20,95;46,79;195,72;171,38;185,95;213,79
1;5;52,07;7;4,57;199;400;875;5,56;0;0;21,98;17,5;36,23;150,91;125,58;143,97;165,53
1;53;104,9;7;4,54;200;400;925;17,78;4,44;0;22,13;16,89;34,76;141,06;119,23;137,32;157,88
1;53;104,9;7;4,54;202;400;1000;23,4;0;2,5;21,48;13,26;25,42;98,51;84,48;100,44;115,45
1;53;104,9;7;4,54;203;400;1025;18,37;0;0;23,2;17,75;38,62;156,81;132,84;152,56;175,4
1;53;104,9;7;4,54;204;400;1175;8,16;0;0;22,85;18,15;38,62;152,11;130,99;152,56;175,4
1;53;104,9;7;4,54;205;400;900;29,79;2,13;0;23,3;13,64;27,29;107,69;94,4;107,82;123,96
1;38;1,39;8;4,59;206;400;1050;8,89;0;0;22,38;18,48;37,11;151,95;128,95;148,1;170,27
1;20;99,74;8;5,62;207;400;950;0;0;0;27,1;22,91;48,99;255,78;221,86;241,04;275,49
1;20;99,74;8;5,62;209;400;850;13,16;2,63;0;24,82;15,57;29,29;147,31;130,99;144,13;164,73
1;19;99,5;8;5,49;216;400;1325;0;3,85;0;23,77;21,77;39,85;190,59;173,43;193,95;219
1;19;99,5;8;5,49;217;400;1350;3,85;3,85;0;23,83;20,56;37,06;175,86;162,32;180,37;203,66
1;19;99,5;8;5,49;218;400;1400;5,08;6,78;0;24,1;23,38;42,57;205,21;188,49;207,15;233,9
