"frag";"nfrag";"areafrag";"parc";"areaparc";"vtcc"
104;110;258,03;1;1000;13,0960796404975
104;110;258,03;2;1000;13,9968329046022
104;110;258,03;3;1000;14,8790680977935
104;110;258,03;4;1000;8,66481616168008
104;110;258,03;5;1000;10,4061451900606
104;110;258,03;6;1000;13,7518367189269
104;110;258,03;7;1000;12,3588759134422
104;110;258,03;8;1000;10,6677636983022
104;110;258,03;9;1000;7,76305556542972
104;110;258,03;10;1000;7,72445961406528
104;110;258,03;11;1000;13,0099706258259
104;110;258,03;12;1000;9,89017694266074
104;110;258,03;13;1000;11,7926617441296
104;110;258,03;14;1000;6,36579910922615
104;110;258,03;15;1000;10,7065228326052
104;110;258,03;16;1000;12,5026696900519
104;110;258,03;17;1000;9,82326395233803
104;110;258,03;18;1000;10,4708978444601
104;110;258,03;19;1000;11,7226003715023
104;110;258,03;20;1000;6,25230603635779
104;110;258,03;21;1000;10,4718768846813
104;110;258,03;22;1000;15,1052110754842
104;110;258,03;23;1000;9,3043689751684
104;110;258,03;24;1000;11,4839884290397
104;110;258,03;25;1000;8,53939319298191
104;110;258,03;26;1000;11,3757122606052
106;110;484,51;1;1000;5,65907669023532
106;110;484,51;2;1000;5,6516432953095
106;110;484,51;3;1000;8,81851495245145
106;110;484,51;4;1000;5,54903622726112
106;110;484,51;5;1000;5,67988994210945
106;110;484,51;6;1000;3,9196922469947
106;110;484,51;7;1000;6,36464742881729
106;110;484,51;8;1000;8,48709554881907
106;110;484,51;9;1000;7,27940992383726
106;110;484,51;10;1000;8,10460469874882
106;110;484,51;11;1000;5,84241374839248
106;110;484,51;12;1000;5,52648922326141
106;110;484,51;13;1000;7,79646795632368
106;110;484,51;14;1000;6,31380618673337
106;110;484,51;15;1000;8,21259226699176
106;110;484,51;16;1000;7,8713840208517
106;110;484,51;17;1000;6,48786448579729
106;110;484,51;18;1000;6,02996237390814
106;110;484,51;19;1000;7,9910514718112
106;110;484,51;20;1000;4,09339492176278
106;110;484,51;21;1000;7,37133352149093
106;110;484,51;22;1000;7,16091840586844
106;110;484,51;23;1000;5,34469904304692
106;110;484,51;24;1000;7,21176250189227
106;110;484,51;25;1000;4,9434670131184
106;110;484,51;26;1000;6,08366534597839
106;110;484,51;27;1000;7,80104005916315
106;110;484,51;28;1000;5,48351875867179
106;110;484,51;29;1000;7,93009947669171
106;110;484,51;30;1000;4,54404097409795
106;110;484,51;31;1000;6,58206167090216
106;110;484,51;32;1000;7,21278527483316
106;110;484,51;33;1000;6,92131135327094
106;110;484,51;34;1000;5,61166758907763
106;110;484,51;35;1000;6,91493468393814
106;110;484,51;36;1000;6,72986208440571
106;110;484,51;37;1000;6,22870845932342
106;110;484,51;38;1000;5,56218750154373
106;110;484,51;39;1000;7,19709947746232
106;110;484,51;40;1000;3,91350794632925
106;110;484,51;41;1000;5,96733699693233
106;110;484,51;42;1000;6,57090800056356
106;110;484,51;43;1000;7,10773299762298
106;110;484,51;44;1000;5,0808346652433
